country_code,country,strategy,period,status,statistically_insufficient,start,end,months,turnover_annualized_std,turnover_annualized_energy,turnover_annualized_delta,turnover_12m_std,turnover_12m_energy,contribution_energy_nominal_pts,active_months,activation_rate,active_phases,mean_run_months,median_run_months,max_run_months,last_activation,last_deactivation,signal_availability
AU,Australie,dynamic,common,ok,false,2006-03,2026-06,244,0.428523,0.597238,0.168715,0.402845,0.56527,18.063711,137,0.561475,24,5.708333,5,18,2026-01,2026-06,1
AU,Australie,dynamic,20y,ok,false,2006-06,2026-06,241,0.43115,0.601761,0.170611,0.402845,0.56527,17.564617,134,0.556017,24,5.583333,4.5,18,2026-01,2026-06,1
AU,Australie,dynamic,10y,ok,false,2016-06,2026-06,121,0.32577,0.535353,0.209584,0.402845,0.56527,12.736011,69,0.570248,13,5.307692,4,14,2026-01,2026-06,1
AU,Australie,dynamic,5y,ok,false,2021-06,2026-06,61,0.299475,0.466173,0.166698,0.402845,0.56527,6.718369,35,0.57377,7,5,5,8,2026-01,2026-06,1
AU,Australie,binary,common,ok,false,2006-03,2026-06,244,0.900472,1.050592,0.15012,1.607217,1.70542,18.698725,137,0.561475,24,5.708333,5,18,2026-01,2026-06,1
AU,Australie,binary,20y,ok,false,2006-06,2026-06,241,0.911728,1.063725,0.151996,1.607217,1.70542,18.203295,134,0.556017,24,5.583333,4.5,18,2026-01,2026-06,1
AU,Australie,binary,10y,ok,false,2016-06,2026-06,121,0.82213,0.985318,0.163189,1.607217,1.70542,13.555243,69,0.570248,13,5.307692,4,14,2026-01,2026-06,1
AU,Australie,binary,5y,ok,false,2021-06,2026-06,61,0.838426,1.008402,0.169976,1.607217,1.70542,7.450052,35,0.57377,7,5,5,8,2026-01,2026-06,1
BR,Brésil,dynamic,common,ok,false,2008-10,2026-06,213,0.396755,0.573716,0.176961,0.120922,0.424428,13.545747,113,0.530516,22,5.136364,4.5,14,2026-01,2026-06,1
BR,Brésil,dynamic,20y,insufficient_history,true,2008-10,2026-06,213,,,,,,,,,,,,,,,
BR,Brésil,dynamic,10y,ok,false,2016-06,2026-06,121,0.411273,0.582045,0.170772,0.120922,0.424428,13.418835,69,0.570248,13,5.307692,4,14,2026-01,2026-06,1
BR,Brésil,dynamic,5y,ok,false,2021-06,2026-06,61,0.216748,0.42123,0.204482,0.120922,0.424428,6.781267,35,0.57377,7,5,5,8,2026-01,2026-06,1
